date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:57:04	40623/40623	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Mar%202022%2019:22:38%20GMT	https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/index.html	(from )
01:57:04	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20May%202022%2004:57:04%20GMT	https://lauchpad-seedify.fund/robots.txt		(from )
01:57:05	17478/17478	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Nov%202021%2017:27:50%20GMT	https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/static/media/logo.png	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/static/media/logo.png	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:06	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:08	36910/36910	---M-Z	200	added ('OK')	text/css	etag:W/%22902e-dAmG0TsbCxIsCq04U6EKr+tUE/U%22	https://cdn.jsdelivr.net/npm/fork-awesome@1.2.0/css/fork-awesome.min.css	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/cdn.jsdelivr.net/npm/fork-awesome@1.2.0/css/fork-awesome.min.css	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:08	520714/520714	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd700-7f20a%22	https://code.jquery.com/ui/1.12.1/jquery-ui.js	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/code.jquery.com/ui/1.12.1/jquery-ui.js	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:09	1033/1033	---MCZ	200	added ('OK')	text/css	etag:W/%22498bce414802fc25777968c4b80d5de9%22	https://use.fontawesome.com/c5edcdb5e2.css	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/use.fontawesome.com/c5edcdb5e2.css	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:09	161409/161409	---M-Z	200	added ('OK')	text/css	etag:W/%2227681-LKxK/BIJg5IUESlr1Oj9ipS6I34%22	https://cdn.jsdelivr.net/npm/bootstrap@4.6.0/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/cdn.jsdelivr.net/npm/bootstrap@4.6.0/dist/css/bootstrap.min.css	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:10	60044/60044	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:10%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.1/js/bootstrap.min.js	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/stackpath.bootstrapcdn.com/bootstrap/4.5.1/js/bootstrap.min.js	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:12	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2018%20May%202022%2004:57:11%20GMT	https://cdn.tiny.cloud/1/h7anlv9v7lqmy67olovnicn9dgbjnnp72vguxxat5wihkmzi/tinymce/5/tinymce.min.js	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/cdn.tiny.cloud/1/h7anlv9v7lqmy67olovnicn9dgbjnnp72vguxxat5wihkmzi/tinymce/5/tinymce.min.7.delayed	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:12	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2018%20May%202022%2004:57:12%20GMT	https://cdn.tiny.cloud/1/h7anlv9v7lqmy67olovnicn9dgbjnnp72vguxxat5wihkmzi/tinymce/5.10.4-130/tinymce.min.js	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/cdn.tiny.cloud/1/h7anlv9v7lqmy67olovnicn9dgbjnnp72vguxxat5wihkmzi/tinymce/5.10.4-130/tinymce.min.js	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:13	21233/21233	---M-Z	200	added ('OK')	application/javascript	etag:W/%2252f1-MTeJyg4xtlR4TbuosPg/Nk+Gg7Q%22	https://cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/cdn.jsdelivr.net/npm/popper.js@1.16.1/dist/umd/popper.min.js	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:14	402513/402513	---MCZ	200	added ('OK')	application/javascript	etag:W/%22G/2Hwo2vvR/LY4ZlnhRzsJ0XSdBQS+owLkKqOVnbmmc=%22	https://cdn.tiny.cloud/1/invalid-origin/tinymce/5.10.4-130/tinymce.min.js	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/cdn.tiny.cloud/1/invalid-origin/tinymce/5.10.4-130/tinymce.min.js	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:17	1384564/1384564	---M-Z	200	added ('OK')	application/javascript	etag:%22611892c9-5f17d%22	https://cdnjs.cloudflare.com/ajax/libs/web3/1.5.2/web3.min.js	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/cdnjs.cloudflare.com/ajax/libs/web3/1.5.2/web3.min.js	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:17	19722/19722	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Dec%202021%2006:21:18%20GMT	https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/chuck1.css	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/chuck1.css	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:19	7742/7742	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2005%20Nov%202021%2017:03:16%20GMT	https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/static/media/Logo1.svg	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/static/media/Logo1.svg	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:20	332093/332093	---M-Z	200	added ('OK')	text/css	date:Sat,%2004%20Dec%202021%2006:31:26%20GMT	https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/chuck2.css	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/chuck2.css	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:22	5883/5883	---M--	200	added ('OK')	image/png	etag:%225873f480a28170774d9c8bdd3a9eef14%22	https://img.api.cryptorank.io/coins/60x60.engines%20of%20fury1640256090908.png	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/img.api.cryptorank.io/coins/60x60.engines%20of%20fury1640256090908.png	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/)
01:57:22	30344/30344	---MCZ	200	added ('OK')	text/css	etag:W/%2236082410df2ef7f83932219089dc1443%22	http://use.fontawesome.com/releases/v4.7.0/css/font-awesome-css.min.css	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/use.fontawesome.com/releases/v4.7.0/css/font-awesome-css.min.css	(from https://use.fontawesome.com/c5edcdb5e2.css)
01:57:25	54064/54064	---M--	200	added ('OK')	font/woff2	date:Fri,%2005%20Nov%202021%2017:11:54%20GMT	https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/static/media/Adrianna-Bold.d978ad96.woff2	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/static/media/Adrianna-Bold.d978ad96.woff2	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/chuck1.css)
01:57:27	56084/56084	---M--	200	added ('OK')	font/woff2	date:Fri,%2005%20Nov%202021%2017:11:46%20GMT	https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/static/media/Adrianna-Regular.eb963de7.woff2	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/static/media/Adrianna-Regular.eb963de7.woff2	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/chuck1.css)
01:57:27	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20May%202022%2004:57:27%20GMT	https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/static/media/Adrianna-Bold.7f89d89d.ttf	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/static/media/Adrianna-Bold.7f89d89d.ttf	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/chuck1.css)
01:57:27	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20May%202022%2004:57:27%20GMT	https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/static/media/Adrianna-Regular.e187d129.ttf	C:/My%20Web%20Sites/https___lauchpad-seedify.fund_pool_detail_ongoing_engines_of_fury_/lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/static/media/Adrianna-Regular.e187d129.ttf	(from https://lauchpad-seedify.fund/pool_detail/ongoing/engines_of_fury/chuck2.css)
